id,action,width,height,kb,source_keif_v2
164,rebuilt-1-center,476,813,50,services/male/hosts/dagla/dagla-2.webp
165,rebuilt-1-center,1200,675,214,services/male/hosts/hizam/hizam-2.webp
166,restored,280,307,14,
167,restored,1080,1080,40,
168,restored,1080,1080,39,
169,restored,1000,1000,54,
170,restored,1000,1000,38,
171,restored,1080,1080,43,
172,restored,1080,1080,38,
173,restored,1000,1000,30,
174,restored,1000,1000,67,
175,restored,1080,1080,68,
176,restored,1000,1000,34,
177,restored,1080,1080,44,
178,restored,1080,1080,44,
179,restored,1080,1080,50,
180,restored,1080,1080,39,
181,restored,900,1200,88,
182,restored,1080,1080,47,
183,restored,1080,1080,44,
184,restored,900,1200,99,
185,restored,1080,1080,48,
186,restored,1080,1080,38,
187,restored,1080,1080,54,
188,restored,900,1200,97,
189,rebuilt-1-center,900,1200,111,equipment/saudi-arabic-coffee-vip-golden-cup-stand-majlis.webp
190,rebuilt-1-center,900,1200,167,services/male/souqiya/souqiya-4.webp
191,restored,900,1200,48,
192,restored,1200,675,73,
193,restored,900,1200,80,
194,restored,280,307,12,
195,rebuilt-1-center,900,1200,85,services/male/souqiya/souqiya-5.webp
196,rebuilt-1-center,678,678,47,equipment/vip-saudi-golden-dallah-dates-table.webp
197,restored,1080,1080,42,
198,rebuilt-1-center,900,1200,66,services/male/souqiya/souqiya-6.webp
199,restored,1080,1080,48,
200,restored,1080,1080,58,
201,rebuilt-1-center,880,1200,107,services/sawas/sawas-style-2.webp
202,rebuilt-1-center,880,1200,119,services/sawas/sawas-style-4.webp
203,rebuilt-1-center,546,1200,91,services/male/sawas/sawas-5.webp
204,rebuilt-1-center,595,1200,83,services/male/sawas/sawas-3.webp
205,restored,1080,1080,43,
206,restored,1000,1000,39,
207,restored,1080,1080,37,
208,restored,1080,1080,41,
209,restored,1000,1000,26,
210,restored,900,1200,37,
211,restored,1080,1080,48,
212,restored,1000,1000,13,
213,rebuilt-1-center,478,823,90,dates/stuffed-dates.webp
214,rebuilt-1-center,1200,800,143,sweets/saudi-traditional-baklava-kunafa-pistachio-fruit-platter.webp
215,rebuilt-1-center,1200,801,137,sweets/saudi-fruit-platter-baklava-pistachio-dessert.webp
216,restored,1200,675,164,
217,rebuilt-1-center,1200,675,87,services/male/souqiya/souqiya-2.webp
218,rebuilt-1-center,1200,540,117,sweets/saudi-luxury-dessert-buffet-mini-cakes-shooters.webp
219,restored,835,1000,81,
220,rebuilt-1-center,900,1200,163,services/artistic/buffet/buffet-2.webp
221,rebuilt-1-center,666,1000,57,dates/palm-khalas-stuffed.webp
222,rebuilt-1-center,666,1000,58,distributions/saudi-luxury-palm-date-sweets-distribution.webp
223,rebuilt-1-center,900,1200,173,equipment/royal-saudi-gold-qahwa-dates-service.webp
224,rebuilt-1-center,1200,1200,111,dates/palm-sukari-stuffed.webp
225,rebuilt-1-center,1200,675,136,sweets/saudi-elegant-dessert-buffet-panna-cotta-shooters.webp
226,rebuilt-1-center,1200,540,128,sweets/saudi-luxury-dessert-buffet-chocolate-mousse-basbousa.webp
227,rebuilt-1-center,516,1200,106,sweets/saudi-luxury-dessert-station-fresh-fruit-mix.webp
228,restored,1200,900,114,
229,rebuilt-1-center,1165,960,123,sweets/saudi-elegant-dessert-station-mango-panna-cotta-red-velvet.webp
230,rebuilt-1-center,720,900,123,pastry/arabic-pastry.webp
