id,file,action,stamps_before,faces_covered_before,stamps_after,faces,faces_covered_after,logo_width_frac,logo_cx,logo_cy,w,h,kb
200,keif-aldiafa-equipment-ornate-gold-accent-tea-glass-with-saucer.webp,restored,1,0,1,0,0,,,,1080,1080,58
201,keif-aldiafa-equipment-ornate-gold-vessel-with-blue-beads.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,880,1200,107
202,keif-aldiafa-equipment-ornate-golden-decorative-vessel-display.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,880,1200,119
203,keif-aldiafa-equipment-ornate-golden-tiered-stand-blue-beads-dallah-cup-tray.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,546,1200,91
204,keif-aldiafa-equipment-ornate-golden-tiered-stand-coins-turquoise-beads-glass-cups.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,595,1200,83
205,keif-aldiafa-equipment-silver-arabic-coffee-pot-dallah.webp,restored,1,0,1,0,0,,,,1080,1080,43
206,keif-aldiafa-equipment-silver-dallah-coffee-pot-with-k-logo.webp,restored,1,0,1,0,0,,,,1000,1000,39
207,keif-aldiafa-equipment-white-ceramic-cup-on-saucer-with-branded-frame.webp,restored,1,0,1,0,0,,,,1080,1080,37
208,keif-aldiafa-equipment-white-cup-and-saucer-with-brand-frame.webp,restored,1,0,1,0,0,,,,1080,1080,41
209,keif-aldiafa-equipment-white-cup-and-saucer-with-k-logo.webp,restored,1,0,1,0,0,,,,1000,1000,26
210,keif-aldiafa-equipment-white-emblem-cups-stacked-gold-tray.webp,rebuilt-1-center,0,0,1,2,0,0.3,0.24,0.45,900,1200,49
211,keif-aldiafa-equipment-white-gold-porcelain-coffee-cups.webp,restored,1,0,1,0,0,,,,1080,1080,48
212,keif-aldiafa-equipment-white-porcelain-cup-saucer-k-logo-catalog.webp,restored,0,0,0,0,0,,,,1000,1000,13
213,keif-aldiafa-offering-assorted-stuffed-dates-on-trays.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,478,823,90
214,keif-aldiafa-offering-baklava-silver-trays-fruit-platters-gold-stands-1.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1200,800,143
215,keif-aldiafa-offering-baklava-silver-trays-fruit-platters-gold-stands-2.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1200,801,137
216,keif-aldiafa-offering-bedouin-tent-majlis-sadu-cushions-outdoor-turf-stage.webp,restored,1,0,1,0,0,,,,1200,675,164
217,keif-aldiafa-offering-brass-coffee-urn-and-cups-table-setup.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1200,675,87
218,keif-aldiafa-offering-buffet-dessert-display-glasses-cakes.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1200,540,117
219,keif-aldiafa-offering-caramel-pistachio-sweets-platter.webp,restored,1,0,1,1,0,,,,835,1000,81
220,keif-aldiafa-offering-corporate-buffet-tiered-wooden-stands-mini-pastries-flowers.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,900,1200,163
221,keif-aldiafa-offering-date-palm-food-display.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,666,1000,57
222,keif-aldiafa-offering-date-trunk-palm-food-display.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,666,1000,58
223,keif-aldiafa-offering-dates-sweets-woven-trays-golden-incense-burner-dallah.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,173
224,keif-aldiafa-offering-decorative-palm-sweets-tray-arrangement.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,1200,1200,111
225,keif-aldiafa-offering-dessert-appetizer-buffet-creme-caramel-petit-fours-fruit-skewers.webp,rebuilt-1-center,1,4,1,5,0,0.28,0.64,0.58,1200,675,136
226,keif-aldiafa-offering-dessert-buffet-parfait-glasses-cake-slices-oriental-sweets.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1200,540,128
227,keif-aldiafa-offering-dessert-buffet-table-with-chalkboard.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,516,1200,106
228,keif-aldiafa-offering-dessert-buffet-table-with-cups-and-pastries.webp,restored,1,0,1,0,0,,,,1200,900,114
229,keif-aldiafa-offering-dessert-buffet-table-with-varied-pastries.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1165,960,123
